url,title,duration_seconds,duration_minutes,view_count,description,transcript_downloaded,summary_done
https://www.youtube.com/watch?v=kxLmeUIXXtU,Entrepreneurship Expert: How To Build A $1m Business Without Hard Work!,7619,126.98,1936152,"This episode will teach you everything you would learn in a business degree, saving you $200,000 and 10,000 hours  Josh Kaufman is a renowned business expert and the author of the international...",,
https://www.youtube.com/watch?v=rKOx5qlLyaA,Scott Galloway: We’re Raising The Most Unhappy Generation In History! Hard Work Doesn't Build Wealth,6600,110.0,4245512,Scott Galloway is a Professor of Marketing at the New York Stern School of Business and host of the ‘Pivot’ podcast about technology and business. He is also the best-selling author of...,,
https://www.youtube.com/watch?v=_J1lFZEBq2Y,"Gender Expert: Men Are Emotionally Dependent On Women, We're Treating Them Like Malfunctioning Women",7458,124.3,2097539,"Richard Reeves is a Senior Fellow at the Brookings Institution and President of the American Institute for Boys and Men, an organisation that researches and addresses issues affecting men....",,
https://www.youtube.com/watch?v=XDcESvzX58Y,The Ozempic Expert: Ozempic Transforms Your Gut Microbiome! People Are Being Overdosed On Ozempic!,7084,118.07,1278273,Dr Tyna Moore is a certified Naturopathic and Chiropractic physician and expert in holistic regenerative medicine. She is also the host of ‘The Dr Tyna Show’ Podcast and founder of the...,,
https://www.youtube.com/watch?v=Desm53JJVMA,The Extreme Sleep Scientist: The Painful Trick To Fix Insomnia And Poor Sleep!,7136,118.93,639752,"Professor Guy Leschziner is a world-renowned expert in Neurology and Sleep Medicine at Guy’s Hospital London. He is also the author of books such as, ‘The Nocturnal Brain’, ‘The Man...",,
https://www.youtube.com/watch?v=MrjIXLQ_OdA,"The Fasting Expert: ""The Truth About Ozempic"", These 3 Foods Are Leading To Cancer! - Dr Mindy Pelz",7152,119.2,3280291,"Dr Mindy Pelz is a world-renowned fasting and women’s health expert, specifically focusing on metabolic fasting, and the host of ‘The Resetter Podcast’. She is also the author of best-selling...",,
https://www.youtube.com/watch?v=_vX-_fq-c50,Wim Hof: They’re Lying To You About Disease & Inflammation!,6365,106.08,2319933,Wim Hof is a Dutch extreme sports athlete and multiple Guinness World Record holder who is best known for his ability to withstand extremely cold temperatures. He is also the author of the...,,
https://www.youtube.com/watch?v=-pdCDq_MTj4,"The Sex Expert: ""Casual Sex Is Almost Always Dangerous For Women!"" - Louise Perry",6588,109.8,2022115,"Louise Perry is a British journalist and host of the ‘Maiden Mother Matriarch’ podcast. She is also press officer for the charity, ‘We Can’t Consent To This’ and author of the book,...",,
https://www.youtube.com/watch?v=I3WUiD8HYn8,"Simon Sinek: ""Strong Thigh Muscles = More friends"", This Is Why You Can't Make Friends!",7325,122.08,1994446,"Simon Sinek is a renowned leadership expert and the founder of ‘The Optimism Company’, which provides programmes for leadership development. He is also the best-selling author of the books,...",,
https://www.youtube.com/watch?v=Cgo2mD4Pc54,The Menopause Doctor: This Diet Delays Menopause! Menopause Is Shrinking Your Brain! Dr Lisa Mosconi,7154,119.23,2522730,Dr Lisa Mosconi is the associate professor of neurology and radiology at Weill Cornell Medicine and director of Women’s Brain Initiative and Alzheimer’s Prevention Program. She is also...,,
https://www.youtube.com/watch?v=BvsbCdCG8gE,Simon Cowell Opens Up About His Heartbreaking Loss & His Regrets About One Direction!,7771,129.52,6294467,"Simon Cowell is a world-renowned record producer, talent scout, and music mogul. He is best known for being a judge on some of the world’s most popular TV shows including, ‘The X Factor’,...",,
https://www.youtube.com/watch?v=iz_SJ5TpLJ0,Secret Agent: How To Detect A Lie Instantly! - Evy Poumpouras,7409,123.48,7701102,"Evy Poumpouras is a former U.S. Secret Service Special Agent and multi-media journalist. She is also the co-host of Bravo TV's series ‘Spy Games’ and author of the best-selling memoir,...",,
https://www.youtube.com/watch?v=w8h4qksd6Yw,"The Pregnancy Doctor: Pregnancy Is Halved Every Year After Age 32! If You Want 2+ Children, DO THIS!",8567,142.78,2108831,"Dr Natalie Crawford is a double board-certified fertility doctor. She is also the co-founder of Fora Fertility clinic and Pinnacle Conference, a leadership conference for women in medicine....",,
https://www.youtube.com/watch?v=ToUpAWW7u4c,Dr Mike: The Top 10 Lies Health Experts Have Told You!,6502,108.37,1792222,Doctor Mike is a family medicine doctor and YouTube’s #1 Doctor. He has over 25 million followers on social media and is also the host of ‘The Checkup with Doctor Mike’ podcast.   00:00...,,
